"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"United States of America","65.5%","64.9%","64.4%","63.9%","63.6%","63.8%","63.8%","64%","64.4%","64.6%","64.8%"
"Michigan","72.8%","72.1%","71.5%","71%","70.8%","71%","71%","71.2%","71.7%","72.2%","72.5%"
