"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"United States of America","3.9%","3.7%","3.5%","3.3%","3.2%","3.1%","3%","3%","2.8%","2.7%","2.5%"
"Michigan","4%","3.6%","3.3%","3%","2.7%","2.6%","2.4%","2.3%","2.1%","1.9%","1.9%"
