"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"United States of America","$53.05K","$53.05K","$53.48K","$53.89K","$55.32K","$57.65K","$60.29K","$62.84K","$64.99K","$69.02K","$75.15K"
"Michigan","$48.47K","$48.41K","$49.09K","$49.58K","$50.8K","$52.67K","$54.94K","$57.14K","$59.23K","$63.2K","$68.51K"
