"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"United States of America","$181.4K","$176.7K","$175.7K","$178.6K","$184.7K","$193.5K","$204.9K","$217.5K","$229.8K","$244.9K","$281.9K"
"Michigan","$128.6K","$121.7K","$120.2K","$122.4K","$127.8K","$136.4K","$146.2K","$154.9K","$162.6K","$172.1K","$201.1K"
