"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Individual Homes","15.25K","16.01K","20.88K","25.27K","25.4K","20.72K","21.57K","20.07K","22.39K","20.98K","19.73K"
"Buildings","13.27K","13.11K","14.13K","16.51K","17.38K","16.85K","16.01K","15.85K","17.03K","15.22K","14.64K"
